X_validation,Original_Y,Predicted_y
9.995634252949999743e-01,4.877000000000000224e-01,4.809432327747344971e-01
1.294814719200000075e-01,1.789999999999999925e-02,1.775999926030635834e-02
7.161913437569999985e-01,1.971499999999999919e-01,1.972434222698211670e-01
5.983358102040000626e-01,1.454499999999999960e-01,1.454152911901473999e-01
8.958675314550000879e-01,3.123500000000000165e-01,3.125160336494445801e-01
8.729460076430000104e-01,2.933000000000000052e-01,2.932307124137878418e-01
9.815654837350000772e-01,4.202399999999999469e-01,4.198397994041442871e-01
2.498521349509999767e-01,4.166000000000000258e-02,4.159255325794219971e-02
9.959753817099999962e-01,4.626699999999999702e-01,4.645417630672454834e-01
9.383164651270000656e-01,3.548399999999999888e-01,3.549505472183227539e-01
9.986843743150000119e-01,4.786500000000000199e-01,4.766615331172943115e-01
1.839534504019999794e-01,2.793999999999999609e-02,2.745025232434272766e-02
9.972378853980000679e-01,4.690699999999999870e-01,4.699958860874176025e-01
9.993644699120000086e-01,4.851600000000000357e-01,4.799585938453674316e-01
9.822733975709999621e-01,4.217800000000000438e-01,4.214881062507629395e-01
9.441180474490000751e-01,3.617400000000000060e-01,3.616836667060852051e-01
5.206172103660000605e-01,1.169800000000000006e-01,1.167914196848869324e-01
7.625341705760000366e-01,2.212999999999999967e-01,2.212320119142532349e-01
9.940445501519999949e-01,4.546000000000000041e-01,4.568035006523132324e-01
8.762962242460000661e-01,2.959600000000000009e-01,2.959221899509429932e-01
6.470607468640000859e-02,7.640000000000000957e-03,9.882664307951927185e-03
5.328861581059999297e-01,1.212299999999999905e-01,1.210512593388557434e-01
9.552336401620000750e-01,3.760900000000000354e-01,3.755777776241302490e-01
8.116107969550000467e-01,2.502099999999999880e-01,2.499524503946304321e-01
9.319699363449999163e-01,3.476699999999999791e-01,3.479027748107910156e-01
9.982432127129999833e-01,4.753300000000000303e-01,4.745795726776123047e-01
9.973702950530000111e-01,4.698199999999999599e-01,4.705871939659118652e-01
4.575434291559999922e-01,9.642000000000000570e-02,9.629657119512557983e-02
9.689329979040000040e-01,3.966100000000000181e-01,3.955673873424530029e-01
9.720683824349999336e-01,4.019300000000000095e-01,4.008735716342926025e-01
9.603942719360000213e-01,3.833799999999999986e-01,3.826282322406768799e-01
7.628063360330000764e-01,2.214500000000000079e-01,2.213808149099349976e-01
